  0.014,297.144,  0.000,  0.000
  0.014,297.098,  0.000,  0.000
  0.015,297.028,  0.000,  0.000
  0.014,297.008,  0.000,  0.000
  0.014,297.064,  0.000,  0.000
  0.014,297.141,  0.000,  0.000
  0.015,297.069,  0.000,  0.000
  0.015,296.891,  0.000,  0.000
  0.015,296.865,  0.000,  0.000
  0.014,297.092,  0.000,  0.000
  0.014,297.327,  0.000,  0.000
  0.014,297.376,  0.000,  0.000
  0.014,297.314,  0.000,  0.000
  0.014,297.282,  0.000,  0.000
  0.015,297.301,  0.000,  0.000
  0.015,297.296,  0.000,  0.000
  0.015,297.283,  0.000,  0.000
  0.014,297.270,  0.000,  0.000
  0.014,297.256,  0.000,  0.000
  0.014,297.231,  0.000,  0.000
  0.014,297.196,  0.000,  0.000
  0.014,297.201,  0.000,  0.000
  0.015,297.266,  0.000,  0.000
  0.015,297.324,  0.000,  0.000
  0.015,297.297,  0.000,  0.000
  0.014,297.189,  0.000,  0.000
  0.014,297.116,  0.000,  0.000
  0.015,297.040,  0.000,  0.000
  0.014,297.045,  0.000,  0.000
  0.014,297.148,  0.000,  0.000
  0.015,297.242,  0.000,  0.000
  0.015,297.141,  0.000,  0.000
  0.015,296.965,  0.000,  0.000
  0.015,296.985,  0.000,  0.000
  0.015,297.213,  0.000,  0.000
  0.014,297.393,  0.000,  0.000
  0.014,297.383,  0.000,  0.000
  0.014,297.317,  0.000,  0.000
  0.014,297.293,  0.000,  0.000
  0.014,297.276,  0.000,  0.000
  0.015,297.243,  0.000,  0.000
  0.015,297.239,  0.000,  0.000
  0.015,297.264,  0.000,  0.000
  0.014,297.276,  0.000,  0.000
  0.014,297.271,  0.000,  0.000
  0.014,297.271,  0.000,  0.000
  0.014,297.298,  0.000,  0.000
  0.014,297.324,  0.000,  0.000
  0.014,297.299,  0.000,  0.000
  0.014,297.209,  0.000,  0.000
  0.014,297.206,  0.000,  0.000
  0.015,297.133,  0.000,  0.000
  0.015,297.082,  0.000,  0.000
  0.014,297.134,  0.000,  0.000
  0.014,297.274,  0.000,  0.000
  0.015,297.350,  0.000,  0.000
  0.015,297.253,  0.000,  0.000
  0.015,297.149,  0.000,  0.000
  0.015,297.202,  0.000,  0.000
  0.015,297.351,  0.000,  0.000
  0.014,297.400,  0.000,  0.000
  0.014,297.343,  0.000,  0.000
  0.014,297.307,  0.000,  0.000
  0.014,297.306,  0.000,  0.000
  0.014,297.275,  0.000,  0.000
  0.014,297.217,  0.000,  0.000
  0.014,297.198,  0.000,  0.000
  0.014,297.230,  0.000,  0.000
  0.014,297.267,  0.000,  0.000
  0.015,297.293,  0.000,  0.000
  0.014,297.320,  0.000,  0.000
  0.014,297.328,  0.000,  0.000
  0.014,297.294,  0.000,  0.000
  0.014,297.241,  0.000,  0.000
  0.014,297.177,  0.000,  0.000
  0.014,297.215,  0.000,  0.000
  0.015,297.153,  0.000,  0.000
  0.015,297.149,  0.000,  0.000
  0.014,297.254,  0.000,  0.000
  0.014,297.398,  0.000,  0.000
  0.014,297.410,  0.000,  0.000
  0.014,297.330,  0.000,  0.000
  0.014,297.315,  0.000,  0.000
  0.015,297.385,  0.000,  0.000
  0.015,297.423,  0.000,  0.000
  0.015,297.378,  0.001,  0.000
  0.014,297.326,  0.000,  0.000
  0.014,297.323,  0.000,  0.000
  0.014,297.338,  0.000,  0.000
  0.014,297.309,  0.000,  0.000
  0.014,297.249,  0.000,  0.000
  0.014,297.222,  0.000,  0.000
  0.015,297.245,  0.000,  0.000
  0.015,297.286,  0.000,  0.000
  0.014,297.332,  0.000,  0.000
  0.014,297.334,  0.000,  0.000
  0.014,297.278,  0.000,  0.000
  0.014,297.197,  0.000,  0.000
  0.014,297.163,  0.000,  0.000
  0.014,297.156,  0.000,  0.000
  0.014,297.222,  0.000,  0.000
